domain,robots_status,robots_present,named_ai_tokens,restricts_all_named,restricts_some_named,wildcard_only_block
steamcommunity.com,200,True,,,,False
huawei.com,200,True,,,,False
mi.com,403,False,,,,False
temu.com,200,False,,,,False
kaspersky-labs.com,,False,,,,False
beian.gov.cn,,False,,,,False
pangle.io,,False,,,,False
avcdn.net,,False,,,,False
taobao.com,200,True,,,,False
claude.ai,200,True,chatgpt-user;google-extended;gptbot;oai-searchbot,chatgpt-user;google-extended;gptbot;oai-searchbot,chatgpt-user;google-extended;gptbot;oai-searchbot,False
mynetname.net,,False,,,,False
kwaipros.com,,False,,,,False
goodreads.com,200,True,ccbot;gptbot,ccbot;gptbot,ccbot;gptbot,False
enacdn.net,,False,,,,False
wbx2.com,,False,,,,False
intel.com,200,True,anthropic-ai;chatgpt-user;claudebot;google-extended;gptbot;perplexitybot,,,False
awsglobalaccelerator.com,,False,,,,False
chinamobile.com,,False,,,,False
dropcatch.com,308,False,,,,False
substack.com,200,True,,,,False
skyhigh.cloud,,False,,,,False
netease.com,404,False,,,,False
sina.com.cn,200,True,,,,False
ipinfo.io,200,True,,,,False
bluehost.com,403,False,,,,False
businessinsider.com,200,True,anthropic-ai;bytespider;ccbot;claudebot;diffbot;timpibot,anthropic-ai;bytespider;ccbot;claudebot;diffbot;timpibot,anthropic-ai;bytespider;ccbot;claudebot;diffbot;timpibot,False
cloudns.net,200,True,,,,False
myqcloud.com,,False,,,,False
yahoo.co.jp,403,False,,,,False
go.com,200,True,google-extended;gptbot,google-extended;gptbot,google-extended;gptbot,False
wp.com,200,True,,,,False
pixabay.com,200,True,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot,False
adobe.net,200,True,,,,False
byteglb.com,,False,,,,False
g.page,200,False,,,,False
edgecdn.ru,200,True,,,,True
speedtest.net,200,True,,,,False
avsxappcaptiveportal.com,404,False,,,,False
tencent-cloud.net,,False,,,,False
eye4.cn,500,False,,,,False
sohu.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,False
cloudflareinsights.com,200,False,,,,False
gamepass.com,200,False,,,,False
timeweb.ru,200,False,,,,False
mikrotik.com,200,True,,,,False
nflximg.com,,False,,,,False
aol.com,200,True,anthropic-ai;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;omgilibot;perplexitybot;petalbot;youbot,anthropic-ai;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;omgilibot;perplexitybot;petalbot;youbot,anthropic-ai;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;omgilibot;perplexitybot;petalbot;youbot,False
gcdn.co,200,True,,,,True
dual-s-msedge.net,,False,,,,False
